match_id,overworld_seed,avg_elo,is_forfeited,winning_time_sec
12159626,VILLAGE,1321.0,False,810.069
12159624,BURIED TREASURE,1322.0,True,
12159622,RUINED PORTAL,1559.5,False,596.146
12159618,VILLAGE,505.0,True,
12159616,VILLAGE,1680.0,False,645.014
12159615,SHIPWRECK,592.0,True,
12159614,VILLAGE,1662.5,True,
12159611,SHIPWRECK,1551.0,True,
12159610,SHIPWRECK,1125.0,False,955.174
12159609,BURIED TREASURE,1638.5,True,
12159608,VILLAGE,677.0,True,
12159606,BURIED TREASURE,1974.5,False,583.965
12159600,VILLAGE,1063.0,True,
12159599,DESERT TEMPLE,909.0,False,1288.951
12159598,SHIPWRECK,1115.5,False,851.482
12159596,BURIED TREASURE,1596.0,True,
12159595,VILLAGE,434.0,True,
12159594,RUINED PORTAL,1414.5,True,
12159593,SHIPWRECK,1257.5,False,1012.571
12159588,DESERT TEMPLE,1747.0,False,518.121
12159587,VILLAGE,1174.5,True,
12159584,DESERT TEMPLE,594.0,True,
12159580,VILLAGE,716.5,True,
12159577,DESERT TEMPLE,597.0,True,
12159575,RUINED PORTAL,1131.0,True,
12159573,DESERT TEMPLE,1405.5,False,666.889
12159572,DESERT TEMPLE,1238.0,True,
12159571,DESERT TEMPLE,404.0,True,
12159570,RUINED PORTAL,937.0,False,844.324
12159565,VILLAGE,829.0,True,
12159563,VILLAGE,869.5,False,1588.055
12159562,RUINED PORTAL,1502.5,False,540.024
12159557,SHIPWRECK,1968.5,False,733.48
12159555,DESERT TEMPLE,945.0,False,1569.335
12159554,RUINED PORTAL,808.0,True,
12159553,VILLAGE,1615.5,False,654.118
12159551,VILLAGE,674.0,False,2140.043
12159549,VILLAGE,654.5,True,
12159544,VILLAGE,,True,
12159542,RUINED PORTAL,694.5,True,
12159541,VILLAGE,1002.5,False,836.95
12159538,SHIPWRECK,852.0,True,
12159537,DESERT TEMPLE,658.0,True,
12159536,VILLAGE,648.0,True,
12159534,VILLAGE,844.5,False,1108.831
12159532,DESERT TEMPLE,1384.0,False,816.865
12159529,DESERT TEMPLE,605.0,True,
12159528,RUINED PORTAL,1125.5,True,
12159527,SHIPWRECK,759.0,False,914.376
12159525,SHIPWRECK,635.0,False,3008.626
12159524,VILLAGE,1924.0,True,
12159522,DESERT TEMPLE,673.5,False,1330.354
12159519,VILLAGE,951.0,False,1340.917
12159516,SHIPWRECK,1455.0,True,
12159515,VILLAGE,1107.0,False,804.935
12159512,VILLAGE,803.0,False,2144.073
12159511,RUINED PORTAL,1074.5,True,
12159508,SHIPWRECK,1024.5,True,
12159506,SHIPWRECK,1235.5,True,
12159501,VILLAGE,1050.5,True,
12159499,DESERT TEMPLE,1170.0,False,847.137
12159498,DESERT TEMPLE,1616.5,True,
12159495,DESERT TEMPLE,380.0,True,
12159494,VILLAGE,1529.5,True,
12159493,DESERT TEMPLE,1217.5,True,
12159492,VILLAGE,458.5,False,2398.011
12159491,DESERT TEMPLE,1126.0,False,919.381
12159488,VILLAGE,600.0,True,
12159486,DESERT TEMPLE,1297.0,True,
12159483,RUINED PORTAL,1088.5,True,
12159478,VILLAGE,587.0,True,
12159476,RUINED PORTAL,621.0,False,2065.208
12159473,BURIED TREASURE,1717.0,True,
12159469,DESERT TEMPLE,758.0,True,
12159466,DESERT TEMPLE,1455.0,False,837.495
12159460,SHIPWRECK,1098.5,True,
